Uid,firstname,lastname,birthday,n1,n2,email
200001,Henry,Lee,1955-3-6,2,350374078,11062@uwaterloo.ca
200002,Arthur,Hernandez,1969-2-5,124,588852014,24784@uwaterloo.ca
200003,Thomas,Flores,1955-3-5,32,852451378,23764@uwaterloo.ca
200004,Joseph,Brown,1941-12-2,07446520,008063834,17786@uwaterloo.ca
200005,Tom,Hill,1969-10-19,2541500,260371662,56414@uwaterloo.ca
200006,Francis,Anderson,1941-1-27,12528243,342255470,14253@uwaterloo.ca
200007,Jim,Lopez,1952-4-18,70210,868447666,78717@uwaterloo.ca
200008,George,Thompson,1971-6-6,5,056837566,17285@uwaterloo.ca
200009,Albert,Adams,1979-10-25,02025,248742142,73307@uwaterloo.ca
200010,Daniel,Nguyen,1963-11-17,5660572601,702217617,71703@uwaterloo.ca
200011,Arthur,Taylor,1981-2-22,24,564225847,54860@uwaterloo.ca
200012,Oscar,Thompson,1977-6-3,5752404073,628316253,27723@uwaterloo.ca
200013,Peter,Hill,1974-12-21,324706,813480723,14235@uwaterloo.ca
200014,Daniel,Roberts,1960-6-11,46568171,266738225,22461@uwaterloo.ca
200015,Roy,Lewis,1946-4-19,8401238,170087372,04352@uwaterloo.ca
200016,Herbert,Brown,1952-12-3,00780532,322355153,16518@uwaterloo.ca
200017,Charles,Gonzalez,1968-11-2,7682544410,521484513,81085@uwaterloo.ca
200018,Charles,Green,1995-9-10,354,458164814,31083@uwaterloo.ca
200019,Jacob,Perez,1960-7-21,573,854084512,33706@uwaterloo.ca
200020,Richard,Campbell,2001-2-4,48270,515771705,45684@uwaterloo.ca
200021,Thomas,Anderson,1956-6-22,52342,004661614,54821@uwaterloo.ca
200022,Willie,Harris,1972-8-26,120654,603750211,82543@uwaterloo.ca
200023,Edward,Johnson,1981-4-22,738782,034318672,32712@uwaterloo.ca
200024,Herbert,Carter,1996-2-5,612,583825206,57321@uwaterloo.ca
200025,Sam,Mitchell,1975-2-24,31247,071002370,25727@uwaterloo.ca
200026,Martin,Hernandez,1952-4-9,11,655716753,35734@uwaterloo.ca
200027,Ernest,Torres,1999-11-9,46,500645242,07244@uwaterloo.ca
200028,Ernest,Anderson,2003-1-24,7113436,615880374,65607@uwaterloo.ca
200029,Howard,Lee,1980-9-10,345536322,307621122,82044@uwaterloo.ca
200030,Riya,Miller,1986-10-16,560252,685383153,67817@uwaterloo.ca
200031,Jim,White,1990-12-11,21240,431581815,53434@uwaterloo.ca
200032,Howard,Campbell,1954-5-13,50333054,841651577,20654@uwaterloo.ca
